sentence,cleaned_sentence,sentiment
"A 22-member Bangladeshi delegation of political leaders, civil society activists, academics and journalists have begun a 10-day visit to China.",member bangladeshi delegation political leaders civil society activists academics journalists begun day visit china,neutral
"They will be having talks with Chinese government officials and senior members of the ruling Communist Party, a delegation leader confirmed with the BBC.",talks chinese government officials senior members ruling communist party delegation leader confirmed bbc,positive
Analysts say China is making overtures while diplomatic tensions have risen between Bangladesh and India on a range of issues.,analysts say china making overtures diplomatic tensions risen bangladesh india range issues,neutral
This includes ousted Bangladeshi leader Sheikh Hasina living in exile in India.,includes ousted bangladeshi leader sheikh hasina living exile india,neutral
Dhaka has requested her extradition but Delhi has refused.,dhaka requested extradition delhi refused,neutral
"Abdul Moyeen Khan, a senior official from the Bangladesh Nationalist Party (BNP) who's leading the delegation in Beijing, told the BBC: ""It's basically a goodwill visit, initiated by Beijing.""",abdul moyeen khan senior official bangladesh nationalist party bnp whos leading delegation beijing told bbc basically goodwill visit initiated beijing,neutral
"""It is unique because China this time has invited a team representing various groups in Bangladesh.""",unique china time invited team representing various groups bangladesh,positive
Many of the delegation members are from the BNP and its allies.,many delegation members bnp allies,positive
"The BNP, headed by former prime minister Begum Khaleda Zia, is one of the main parties in Bangladesh, besides the Awami League led by Hasina.",bnp headed former prime minister begum khaleda zia one main parties bangladesh besides awami league led hasina,neutral
The delegation also includes several representatives from the student movement that began the mass uprising against Hasina that eventually ousted the prime minister in August last year.,delegation also includes several representatives student movement began mass uprising hasina eventually ousted prime minister august last year,neutral
"An interim government, led by the Nobel laureate Muhammad Yunus is currently in charge.",interim government led nobel laureate muhammad yunus currently charge,neutral
"It has been urging India to repatriate Hasina to face charges of crimes against humanity and money laundering, among other allegations.",urging india repatriate hasina face charges crimes humanity money laundering among allegations,neutral
"The UN says Hasina's government's crackdown on protesters during the uprising killed about 1,400 people.",says hasinas governments crackdown protesters uprising killed people,negative
"So far India has showed no sign of extraditing Hasina, who denies the charges.",far india showed sign extraditing hasina denies charges,neutral
"Delhi and Dhaka had maintained close ties during the 15-year rule of Ms Hasina, who was widely seen by her critics as pro-India.",delhi dhaka maintained close ties year rule hasina widely seen critics proindia,neutral
"While maintaining close ties with Delhi, she balanced it with her relationship with Beijing.",maintaining close ties delhi balanced relationship beijing,neutral
"After the fall of Hasina, Beijing has stepped up its interaction with Bangladeshi leaders, activists and delegations, including from Islamist parties.",fall hasina beijing stepped interaction bangladeshi leaders activists delegations including islamist parties,neutral
This week's visit follows a meeting between the Bangladesh interim government's foreign policy advisor Touhid Hossain and the Chinese foreign minister Wang Yi in Beijing in January.,weeks visit follows meeting bangladesh interim governments foreign policy advisor touhid hossain chinese foreign minister wang beijing january,neutral
"It also marks the second time BNP officials have visited China in recent months, after Beijing hosted a BNP delegation late last year.",also marks second time bnp officials visited china recent months beijing hosted bnp delegation late last year,neutral
"With the political vacuum and absence of India's influence, analysts say, Beijing is trying to increase its foothold in Bangladesh, a country of about 170 million people.",political vacuum absence indias influence analysts say beijing trying increase foothold bangladesh country million people,neutral
China is Bangladesh's largest trading partner with bilateral trade amounting to around $24bn (£19bn) - the vast majority of that consists of Chinese exports to the South Asian country.,china bangladeshs largest trading partner bilateral trade amounting around vast majority consists chinese exports south asian country,neutral
The Bangladeshi military also heavily relies on Chinese equipment and ammunition with more than 70% of supplies coming from China.,bangladeshi military also heavily relies chinese equipment ammunition supplies coming china,negative
"Compared to Beijing's overtures, India has had very limited interactions with the interim government and other Bangladeshi political leaders in the past six months.",compared beijings overtures india limited interactions interim government bangladeshi political leaders past six months,negative
The BNP held a protest in December alleging India's interference in Bangladesh's internal matters by hosting Hasina.,bnp held protest december alleging indias interference bangladeshs internal matters hosting hasina,neutral
Some advisors of the interim government have also criticised Delhi on the same issue.,advisors interim government also criticised delhi issue,neutral
This criticism has sparked sharp reaction from Delhi.,criticism sparked sharp reaction delhi,negative
